cpus=4
           <...>-2531  [002]  9142.036972161:          sched_switch:         trace-cmd:2531 [120] S ==> trace-cmd:2532 [120]
           ngrok-517   [002]  9143.003610194: (+27296) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9143.013320398: (+9710204) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9143.013325342: (+4944)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9143.013335546: (+10204) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9143.040268083: (+26932537) sched_wakeup:         trace-cmd:2532 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9143.040272453: (+4370)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9143.042916435: (+2643982) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-2532  [002]  9143.042927472: (+11037) sched_switch:         trace-cmd:2532 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9143.042948509: (+21037) sched_switch:         kworker/2:1:2180 [120] W ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9143.044573879: (+1625370) sched_switch:         trace-cmd:2532 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9143.053252101: (+8678222) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9143.053257824: (+5723)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9143.053278657: (+20833) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9143.053792509: (+513852) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9143.053797324: (+4815)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9143.053813213: (+15889) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9143.063327638: (+9514425) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9143.063332527: (+4889)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9143.063342731: (+10204) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9143.086889324: (+23546593) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9143.086902472: (+13148) sched_switch:         swapper/2:0 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002]  9143.086918694: (+16222) sched_switch:         kcompactd0:43 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9143.103247175: (+16328481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9143.103252138: (+4963)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9143.103261638: (+9500)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
