cpus=4
          stress-3672  [000] 14905.259367602:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:2-2863  [000] 14905.497167212: (+6111)  sched_switch:         kworker/u8:2:2863 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.569159323: (+71992111) sched_switch:         stress:3678 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.581165174: (+12005851) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.593151971: (+11986797) sched_switch:         stress:3678 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.605159082: (+12007111) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.617151211: (+11992129) sched_switch:         stress:3678 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.625187619: (+8036408) sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.633163008: (+7975389) sched_switch:         stress:3673 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.641155230: (+7992222) sched_switch:         stress:3678 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.649156026: (+8000796) sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.657155007: (+7998981) sched_switch:         stress:3673 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.665150322: (+7995315) sched_switch:         stress:3678 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.673150211: (+7999889) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.681154970: (+8004759) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.689154507: (+7999537) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.697154359: (+7999852) sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.705163767: (+8009408) sched_switch:         stress:3673 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.713154433: (+7990666) sched_switch:         stress:3678 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.721156581: (+8002148) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.729153822: (+7997241) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.737151081: (+7997259) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.745176470: (+8025389) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.753153489: (+7977019) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.761152007: (+7998518) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.769148118: (+7996111) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.777149155: (+8001037) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.785160229: (+8011074) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.793148951: (+7988722) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.801151970: (+8003019) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.809151377: (+7999407) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.817151896: (+8000519) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.825150303: (+7998407) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.833148692: (+7998389) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.841151673: (+8002981) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.849147062: (+7995389) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.857149192: (+8002130) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
