CPU 3 is empty
cpus=4
          stress-3035  [001] 14483.547264081:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
    kworker/0:1H-67    [000] 14483.583120044: (+38649) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14483.583160155: (+40111) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_B.a:2965 [120]
          stress-3032  [001] 14483.583177488: (+17333) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:001
          stress-3032  [001] 14483.583195229: (+17741) sched_switch:         stress:3032 [120] R ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [001] 14483.583285525: (+90296) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 jbd2/mmcblk0p2--93    [001] 14483.583294581: (+9056)  sched_switch:         jbd2/mmcblk0p2-:93 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14483.583341118: (+46537) sched_switch:         kworker/1:1H:91 [100] W ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [001] 14483.583345747: (+4629)  sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.583881266: (+535519) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.583887173: (+5907)  sched_switch:         task_client_A.a:2963 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14483.583905544: (+18371) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.584497284: (+591740) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3031 [120]
          stress-3031  [001] 14483.584601062: (+103778) sched_switch:         stress:3031 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.584675895: (+74833) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3033 [120]
